Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
0,2.6691,2.17393,2.1571,2.20661
100,2.70381,2.21619,2.18843,2.21822
200,2.71305,2.215,2.19684,2.23361
300,2.72355,2.22327,2.20562,2.24228
400,2.72198,2.22016,2.20292,2.24418
500,2.7294,2.2387,2.20004,2.24661
600,2.71167,2.21185,2.1942,2.23597
700,2.72003,2.22829,2.20133,2.23294
800,2.70541,2.21917,2.19074,2.21685
900,2.71799,2.2171,2.20387,2.2366
1000,2.73169,2.22995,2.2106,2.25052
1100,2.72859,2.22559,2.20747,2.25038
1200,2.72834,2.22497,2.20951,2.24839
1300,2.72704,2.23002,2.20881,2.24091
1400,2.73742,2.23385,2.21506,2.25618
1500,2.72928,2.22734,2.21673,2.2412
1600,2.73604,2.2307,2.21707,2.25398
1700,2.7254,2.22231,2.21217,2.24125
1800,2.71489,2.20991,2.19918,2.24078
1900,2.71447,2.20669,2.21055,2.23174
2000,2.73032,2.22916,2.21401,2.24461
2100,2.72911,2.22821,2.20398,2.25247
2200,2.73012,2.22781,2.20651,2.25285
2300,2.74093,2.22213,2.22964,2.26191
2400,2.7301,2.2215,2.20616,2.25936
2500,2.73131,2.22578,2.21079,2.25352
2600,2.74478,2.22592,2.22904,2.2681
2700,2.73431,2.21721,2.21865,2.26151
2800,2.73951,2.2164,2.23137,2.26239
2900,2.74396,2.22563,2.23083,2.26464
3000,2.74107,2.23441,2.22252,2.25715
3100,2.74351,2.23663,2.22093,2.26243
3200,2.74347,2.2347,2.21804,2.26708
3300,2.73821,2.22959,2.21801,2.25941
3400,2.74248,2.23062,2.22218,2.26465
3500,2.73538,2.2228,2.21746,2.25979
3600,2.74419,2.227,2.222,2.27254
3700,2.74522,2.2254,2.22311,2.27549
3800,2.73922,2.23009,2.21883,2.26055
3900,2.74757,2.24381,2.22483,2.26137
4000,2.74048,2.2316,2.2208,2.2602
4100,2.74419,2.23761,2.21387,2.27004
4200,2.7413,2.23192,2.22094,2.26172
4300,2.73434,2.22535,2.20953,2.26254
4400,2.72044,2.21148,2.20867,2.24336
4500,2.72924,2.21934,2.21393,2.25179
4600,2.73488,2.22113,2.21524,2.26241
4700,2.72795,2.21598,2.21776,2.24821
4800,2.72536,2.2157,2.20748,2.2523
4900,2.73298,2.22433,2.21613,2.25376
5000,2.73723,2.22072,2.22417,2.25972
5100,2.74724,2.24135,2.21545,2.27216
5200,2.74618,2.2361,2.22426,2.26617
5300,2.75081,2.249,2.21421,2.27445
5400,2.73959,2.21842,2.22069,2.27108
5500,2.74377,2.23459,2.22135,2.26468
5600,2.74273,2.23049,2.22059,2.26694
5700,2.74108,2.22193,2.22917,2.26292
5800,2.74356,2.229,2.2268,2.26434
5900,2.74665,2.23205,2.23249,2.26321
6000,2.74107,2.23066,2.22197,2.26139
6100,2.72575,2.22153,2.21276,2.24229
6200,2.71451,2.21344,2.20764,2.22805
6300,2.73432,2.22707,2.22329,2.24725
6400,2.72763,2.21339,2.22234,2.24546
6500,2.73119,2.22452,2.21711,2.24827
6600,2.72307,2.20434,2.22346,2.24217
6700,2.73311,2.2166,2.22656,2.25143
6800,2.73241,2.21779,2.22485,2.25022
6900,2.73343,2.23065,2.22211,2.24272
7000,2.73388,2.23185,2.22165,2.24307
7100,2.72324,2.20798,2.22165,2.24079
7200,2.71698,2.20404,2.21717,2.23391
7300,2.72791,2.22269,2.2176,2.24162
7400,2.7261,2.21156,2.22474,2.24116
7500,2.72428,2.20959,2.21928,2.24409
7600,2.72938,2.22329,2.22001,2.24222
7700,2.72688,2.21271,2.22148,2.24514
7800,2.72684,2.20993,2.21588,2.2533
7900,2.7319,2.22072,2.22139,2.24954
8000,2.72323,2.21897,2.21134,2.24013
8100,2.73124,2.21842,2.22138,2.2502
8200,2.72208,2.21541,2.21474,2.23749
8300,2.72579,2.2194,2.21672,2.2406
8400,2.72967,2.22237,2.21633,2.24746
8500,2.74651,2.23776,2.2293,2.26037
8600,2.73739,2.21244,2.23246,2.26005
8700,2.74337,2.23368,2.22551,2.26052
8800,2.74275,2.22601,2.22422,2.26784
8900,2.73946,2.23044,2.2206,2.25905
9000,2.74884,2.23928,2.23287,2.26101
9100,2.74271,2.23318,2.23229,2.2527
9200,2.73616,2.23286,2.22347,2.24581
9300,2.7375,2.23774,2.22375,2.24393
9400,2.74176,2.24273,2.22415,2.24896
9500,2.73473,2.22407,2.23033,2.24424
9600,2.73489,2.22708,2.22899,2.24298
9700,2.73352,2.21756,2.22634,2.25168
9800,2.72575,2.20664,2.21927,2.25055
9900,2.73442,2.21682,2.2299,2.25107
10000,2.73464,2.22196,2.22674,2.24965
10100,2.73755,2.22541,2.22652,2.25356
10200,2.71717,2.21077,2.21073,2.2341
10300,2.73102,2.23002,2.22503,2.23454
10400,2.72685,2.22531,2.21578,2.23825
10500,2.72334,2.21703,2.21462,2.23906
10600,2.74216,2.22701,2.23071,2.25904
10700,2.73198,2.22135,2.21915,2.25131
10800,2.72676,2.21246,2.22376,2.24284
10900,2.71809,2.20074,2.21527,2.24172
11000,2.72159,2.20396,2.22556,2.23687
11100,2.72577,2.20555,2.223,2.24799
11200,2.71202,2.19723,2.21239,2.2333
11300,2.72239,2.20643,2.21995,2.24195
11400,2.72392,2.2046,2.22129,2.24612
11500,2.72064,2.20859,2.21435,2.2411
11600,2.72129,2.21295,2.21235,2.24036
11700,2.73119,2.21707,2.22572,2.24713
11800,2.72696,2.20755,2.22164,2.25025
11900,2.71619,2.20166,2.21209,2.23936
12000,2.72756,2.21307,2.22079,2.24714
12100,2.71664,2.20222,2.20987,2.2421
12200,2.72981,2.21292,2.21857,2.25493
12300,2.72975,2.21274,2.21442,2.25903
12400,2.72669,2.2063,2.21849,2.25393
12500,2.72463,2.20886,2.21578,2.24912
12600,2.72389,2.21124,2.21917,2.24163
12700,2.72726,2.21483,2.2133,2.25204
12800,2.73321,2.22064,2.21931,2.25483
12900,2.72459,2.20741,2.21939,2.24686
13000,2.72509,2.20469,2.22275,2.24742
13100,2.73273,2.21015,2.22286,2.26048
13200,2.74775,2.23832,2.22937,2.26275
13300,2.73811,2.22331,2.22767,2.25586
13400,2.73471,2.21416,2.22618,2.25807
13500,2.73554,2.22059,2.22055,2.25931
13600,2.73815,2.22249,2.22542,2.25899
13700,2.74402,2.21971,2.23278,2.26868
13800,2.74617,2.22956,2.23213,2.26485
13900,2.73921,2.22916,2.22507,2.25531
14000,2.74531,2.22195,2.2342,2.2682
14100,2.74069,2.22206,2.22872,2.26231
14200,2.73429,2.21326,2.23065,2.25353
14300,2.73389,2.21261,2.23199,2.25187
14400,2.73107,2.20936,2.22648,2.25368
14500,2.7417,2.22517,2.2241,2.26623
14600,2.73042,2.21819,2.22353,2.24632
14700,2.73054,2.21904,2.22881,2.24053
14800,2.73747,2.22845,2.22235,2.25447
14900,2.73721,2.22708,2.22148,2.25607
15000,2.72922,2.22257,2.21956,2.24299
15100,2.731,2.21244,2.22857,2.2484
15200,2.71502,2.2083,2.20515,2.23683
15300,2.72513,2.19961,2.2176,2.25758
15400,2.72431,2.19805,2.21632,2.25836
15500,2.71962,2.20115,2.22024,2.24013
15600,2.74092,2.22648,2.23132,2.25594
15700,2.73583,2.22776,2.22125,2.25225
15800,2.72337,2.2141,2.21323,2.24341
15900,2.73242,2.22949,2.22001,2.24347
16000,2.72078,2.21622,2.21387,2.23437
16100,2.72025,2.21374,2.21253,2.23686
16200,2.71999,2.20572,2.21135,2.24531
16300,2.7271,2.20983,2.22372,2.2463
16400,2.72425,2.22459,2.2196,2.22882
16500,2.72507,2.22096,2.21494,2.23906
16600,2.7234,2.20908,2.22224,2.23952
16700,2.72105,2.21493,2.21528,2.23492
16800,2.72476,2.21474,2.21896,2.2405
16900,2.71579,2.2045,2.21602,2.2317
17000,2.72891,2.22373,2.21813,2.2425
17100,2.72485,2.21611,2.22348,2.23487
17200,2.71617,2.20789,2.21105,2.23419
17300,2.71569,2.20934,2.20707,2.23554
17400,2.71605,2.20748,2.21181,2.23356
17500,2.71668,2.20321,2.21383,2.23729
17600,2.71923,2.21684,2.20595,2.23782
17700,2.72728,2.21621,2.2224,2.24175
17800,2.72073,2.20831,2.21931,2.23669
17900,2.7172,2.20836,2.21342,2.23388
18000,2.72346,2.21693,2.21478,2.23929
18100,2.72639,2.22357,2.21886,2.2358
18200,2.73371,2.23109,2.22104,2.244
18300,2.73839,2.22803,2.22211,2.25737
18400,2.72781,2.21632,2.22126,2.24407
18500,2.71161,2.20921,2.20825,2.22458
18600,2.7106,2.20006,2.20908,2.23034
18700,2.71731,2.2147,2.2045,2.23669
18800,2.71361,2.21086,2.21578,2.22032
18900,2.7163,2.2074,2.21675,2.22935
19000,2.72254,2.21496,2.2152,2.2386
19100,2.71645,2.20631,2.21538,2.23214
19200,2.72116,2.21474,2.21324,2.2374
19300,2.7175,2.20756,2.21093,2.23787
19400,2.72126,2.21898,2.21517,2.23151
19500,2.71258,2.21547,2.2087,2.22025
19600,2.71663,2.20033,2.2208,2.2331
19700,2.71622,2.20759,2.20647,2.23915
19800,2.71799,2.21419,2.2154,2.22808
19900,2.71888,2.21233,2.21749,2.23003
20000,2.71483,2.20277,2.21177,2.23528
20100,2.7214,2.20733,2.21408,2.24445
20200,2.72375,2.21911,2.22098,2.23169
20300,2.7166,2.2162,2.20717,2.23085
20400,2.72604,2.22393,2.21474,2.23868
20500,2.72261,2.22104,2.21211,2.23579
20600,2.71359,2.20946,2.20279,2.23454
20700,2.72259,2.22248,2.20993,2.23646
20800,2.72802,2.2317,2.21691,2.2336
20900,2.71825,2.2128,2.20544,2.23994
21000,2.71421,2.21307,2.20722,2.22809
21100,2.71309,2.21402,2.20746,2.22418
21200,2.72994,2.22153,2.21268,2.25256
21300,2.72152,2.20813,2.21376,2.24429
21400,2.72799,2.20861,2.22574,2.24766
21500,2.73216,2.2238,2.21823,2.25022
21600,2.73445,2.22275,2.21674,2.25829
21700,2.73478,2.21329,2.23066,2.25466
21800,2.75251,2.22558,2.23917,2.27719
21900,2.73958,2.20988,2.22893,2.27131
22000,2.72154,2.20524,2.21194,2.24894
22100,2.72032,2.1994,2.21944,2.24434
22200,2.7273,2.20146,2.22257,2.25612
22300,2.72474,2.19951,2.22459,2.24984
22400,2.73643,2.20779,2.22877,2.26591
22500,2.73884,2.21486,2.23028,2.26335
22600,2.73481,2.2154,2.22898,2.25433
22700,2.75606,2.22637,2.2452,2.27905
22800,2.74866,2.23314,2.23239,2.2671
22900,2.73566,2.21863,2.23277,2.24945
23000,2.73113,2.21051,2.2272,2.25196
23100,2.73832,2.21059,2.2325,2.26408
23200,2.74413,2.23029,2.23111,2.26018
23300,2.73632,2.22269,2.23057,2.24923
23400,2.74023,2.21648,2.23379,2.26165
23500,2.7399,2.22283,2.23744,2.251
23600,2.73473,2.2173,2.22759,2.25364
23700,2.74094,2.2352,2.21757,2.26092
23800,2.74216,2.22111,2.22596,2.2695
23900,2.72334,2.21051,2.21492,2.2452
24000,2.72927,2.22226,2.21606,2.24687
24100,2.7288,2.21905,2.21216,2.25275
24200,2.74527,2.23011,2.2265,2.26766
24300,2.73609,2.22388,2.21904,2.2589
24400,2.72941,2.22072,2.21004,2.25467
24500,2.73341,2.22243,2.2175,2.25534
24600,2.72962,2.21644,2.2256,2.24405
24700,2.73819,2.22491,2.2186,2.2634
24800,2.74115,2.22013,2.2247,2.26926
24900,2.74106,2.22393,2.22496,2.26506
25000,2.73195,2.21357,2.21551,2.26247
25100,2.73413,2.21549,2.22373,2.25776
25200,2.73901,2.22072,2.22551,2.26271
25300,2.7367,2.22289,2.22244,2.258
25400,2.73761,2.22046,2.21906,2.26591
25500,2.74092,2.22111,2.23156,2.261
25600,2.73361,2.21151,2.21963,2.26444
25700,2.73387,2.20929,2.23094,2.25612
25800,2.73722,2.21394,2.22584,2.26471
25900,2.74469,2.22775,2.23735,2.25788
26000,2.74041,2.22563,2.23463,2.25226
26100,2.7376,2.22771,2.22178,2.25607
26200,2.74876,2.22763,2.23074,2.27439
26300,2.73475,2.21359,2.22952,2.25543
26400,2.74838,2.23633,2.23673,2.259
26500,2.74888,2.2245,2.2445,2.26417
26600,2.75045,2.22053,2.24095,2.27537
26700,2.74723,2.22723,2.23788,2.26405
26800,2.74442,2.22742,2.23073,2.2641
26900,2.74452,2.23158,2.22535,2.26552
27000,2.73015,2.21549,2.22316,2.24869
27100,2.73658,2.21736,2.23111,2.25459
27200,2.73858,2.22547,2.22614,2.25637
27300,2.72728,2.20917,2.22092,2.25017
27400,2.72461,2.20785,2.21227,2.25351
27500,2.7262,2.21569,2.21594,2.24602
27600,2.72462,2.20997,2.21979,2.24405
27700,2.73385,2.21607,2.22757,2.25274
27800,2.73695,2.22294,2.22166,2.25933
27900,2.73966,2.2163,2.23121,2.263
28000,2.73828,2.21033,2.23211,2.26462
28100,2.72695,2.21098,2.22076,2.24772
28200,2.74039,2.22336,2.22194,2.26697
28300,2.73669,2.22503,2.21814,2.2601
28400,2.74879,2.23253,2.23189,2.26852
28500,2.73816,2.22184,2.2149,2.26996
28600,2.7208,2.20453,2.2127,2.24711
28700,2.74107,2.22275,2.2193,2.27178
28800,2.74791,2.23017,2.22795,2.27258
28900,2.74139,2.22047,2.22263,2.27154
29000,2.7414,2.22666,2.2241,2.26405
29100,2.73926,2.22581,2.21934,2.26437
29200,2.75911,2.23102,2.23533,2.29157
29300,2.7463,2.2281,2.21978,2.27869
29400,2.73655,2.21661,2.21152,2.27447
29500,2.74593,2.22378,2.22228,2.27958
29600,2.74302,2.21411,2.22941,2.27502
29700,2.73262,2.20457,2.22175,2.26676
29800,2.73267,2.21639,2.22,2.25703
29900,2.73221,2.21521,2.22092,2.25618
30000,2.71764,2.20224,2.20776,2.24656
30100,2.73086,2.2116,2.21351,2.26372
30200,2.73784,2.22319,2.22365,2.25929
30300,2.74774,2.22579,2.23283,2.27167
30400,2.74992,2.23747,2.22288,2.27522
30500,2.73882,2.228,2.22413,2.25645
30600,2.7391,2.22681,2.2221,2.2603
30700,2.74249,2.22109,2.23233,2.26406
30800,2.74135,2.22967,2.22153,2.26348
30900,2.73891,2.22352,2.22611,2.25914
31000,2.74351,2.22204,2.23131,2.26661
31100,2.74066,2.23061,2.22922,2.2533
31200,2.73626,2.22696,2.22798,2.24744
31300,2.73444,2.21818,2.22347,2.25615
31400,2.72693,2.20437,2.22046,2.25447
31500,2.74291,2.21661,2.23312,2.26869
31600,2.73192,2.2172,2.21866,2.25574
31700,2.72719,2.21196,2.21522,2.25282
31800,2.73004,2.21943,2.21365,2.25392
31900,2.7377,2.2207,2.22625,2.25882
32000,2.73345,2.21737,2.22229,2.25571
32100,2.73168,2.21542,2.22443,2.25121
32200,2.7406,2.22892,2.22944,2.25462
32300,2.73852,2.22771,2.22264,2.25746
32400,2.74439,2.23226,2.23172,2.25827
32500,2.73971,2.24141,2.22458,2.24484
32600,2.74593,2.22882,2.23601,2.26118
32700,2.73916,2.23044,2.22761,2.25143
32800,2.735,2.21945,2.22394,2.25578
32900,2.7289,2.22529,2.21679,2.24227
33000,2.74343,2.22519,2.23864,2.25606
33100,2.72104,2.21225,2.21681,2.23602
33200,2.72279,2.20455,2.22251,2.24223
33300,2.71782,2.20365,2.21921,2.2343
33400,2.71958,2.20402,2.22647,2.23099
33500,2.72612,2.20817,2.22313,2.24614
33600,2.72758,2.2157,2.21978,2.24559
33700,2.7147,2.20004,2.21281,2.23664
33800,2.72561,2.20749,2.22655,2.24216
33900,2.7298,2.21457,2.22603,2.24592
34000,2.72645,2.21668,2.21659,2.24503
34100,2.7204,2.20531,2.21891,2.23923
34200,2.73227,2.21788,2.21987,2.25472
