Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
0,1.41017,1.20536,1.03048,1.20928
100,1.41424,1.20018,1.0401,1.21568
200,1.41746,1.20959,1.04919,1.20601
300,1.4273,1.22163,1.05704,1.21023
400,1.40884,1.19631,1.04651,1.20138
500,1.40749,1.19959,1.04024,1.20039
600,1.40363,1.19673,1.03779,1.19631
700,1.39812,1.1853,1.04622,1.18743
800,1.40316,1.19235,1.03921,1.19835
900,1.39349,1.18086,1.03664,1.18935
1000,1.39865,1.186,1.04298,1.19082
1100,1.40283,1.19751,1.04034,1.19145
1200,1.4044,1.19549,1.03398,1.20264
1300,1.39229,1.17357,1.04126,1.18973
1400,1.3891,1.17841,1.03494,1.18298
1500,1.40407,1.19231,1.04351,1.19679
1600,1.40301,1.19444,1.04282,1.19277
1700,1.38872,1.177,1.03965,1.17934
1800,1.39995,1.18442,1.04897,1.19018
1900,1.40214,1.19604,1.03216,1.19839
2000,1.39744,1.18751,1.03717,1.19153
2100,1.39668,1.18415,1.02695,1.20191
2200,1.40264,1.19639,1.03912,1.19317
2300,1.41404,1.19854,1.04613,1.21168
2400,1.40847,1.20256,1.03615,1.20326
2500,1.41758,1.21285,1.04132,1.20984
2600,1.43062,1.22912,1.04203,1.22343
2700,1.41947,1.21079,1.03883,1.21844
2800,1.41395,1.20445,1.03671,1.21368
2900,1.40834,1.20174,1.03954,1.20085
3000,1.40797,1.2003,1.02938,1.21014
3100,1.39812,1.19103,1.02992,1.19589
3200,1.39821,1.18771,1.03468,1.19531
3300,1.42007,1.21245,1.04789,1.2104
3400,1.41851,1.20683,1.04982,1.2107
3500,1.42725,1.22497,1.0437,1.21828
3600,1.42407,1.2251,1.04207,1.2121
3700,1.42494,1.22026,1.04114,1.2198
3800,1.42721,1.22341,1.04841,1.21571
3900,1.42264,1.21442,1.04364,1.21813
4000,1.41078,1.19749,1.04581,1.20537
4100,1.41448,1.20747,1.04016,1.20897
4200,1.42259,1.21813,1.04059,1.21689
4300,1.41544,1.20173,1.04308,1.21441
4400,1.40133,1.18775,1.03573,1.20165
4500,1.41149,1.20435,1.03692,1.20788
4600,1.40865,1.19441,1.04529,1.20389
4700,1.41137,1.20054,1.03594,1.21221
4800,1.41503,1.20467,1.04087,1.21244
4900,1.40567,1.18963,1.03924,1.20689
5000,1.41503,1.2032,1.03705,1.21716
5100,1.42033,1.20629,1.04604,1.21874
5200,1.41032,1.19861,1.04114,1.20721
5300,1.42243,1.21518,1.03665,1.22282
5400,1.42443,1.21938,1.03684,1.22314
5500,1.42024,1.21369,1.0384,1.21771
5600,1.41997,1.21354,1.04165,1.21447
5700,1.42314,1.21669,1.04148,1.21887
5800,1.40695,1.19355,1.04166,1.20391
5900,1.41749,1.20932,1.0375,1.21644
6000,1.41438,1.2048,1.03377,1.21685
6100,1.41621,1.20287,1.04076,1.21706
6200,1.42547,1.21956,1.04065,1.22217
6300,1.43727,1.23028,1.03784,1.24129
6400,1.41971,1.207,1.03873,1.22284
6500,1.41875,1.20481,1.05081,1.21242
6600,1.43308,1.22116,1.05594,1.22524
6700,1.42193,1.21119,1.04618,1.2175
6800,1.41484,1.20413,1.03744,1.21545
6900,1.41918,1.21141,1.03416,1.22113
7000,1.41208,1.2023,1.03378,1.21396
7100,1.42403,1.21085,1.0454,1.2234
7200,1.42068,1.20765,1.04187,1.22179
7300,1.41607,1.20475,1.041,1.21468
7400,1.41228,1.20212,1.03511,1.21348
7500,1.43059,1.21863,1.04194,1.23388
7600,1.42065,1.21481,1.04169,1.21475
7700,1.4243,1.21956,1.0403,1.21972
7800,1.4166,1.20799,1.04231,1.21154
7900,1.42308,1.21916,1.04257,1.21532
8000,1.41734,1.20219,1.04602,1.21585
8100,1.41837,1.21579,1.03469,1.21443
8200,1.43111,1.22929,1.04412,1.22263
8300,1.42633,1.22309,1.03674,1.22396
8400,1.42189,1.21636,1.03828,1.21901
8500,1.43627,1.2425,1.03596,1.22829
8600,1.42372,1.21984,1.04454,1.21444
8700,1.41554,1.2036,1.03748,1.21758
8800,1.41488,1.21335,1.04314,1.20143
8900,1.42633,1.22454,1.0389,1.22067
9000,1.42724,1.22194,1.04304,1.22187
9100,1.43217,1.23336,1.03436,1.22927
9200,1.43272,1.23354,1.0325,1.23195
9300,1.42318,1.21548,1.03871,1.22252
9400,1.43636,1.24067,1.04289,1.2245
9500,1.43232,1.2351,1.04091,1.22233
9600,1.41565,1.20645,1.04211,1.21104
9700,1.40489,1.19644,1.03509,1.20188
9800,1.42189,1.21695,1.0415,1.21567
9900,1.41022,1.20305,1.03473,1.20806
10000,1.41443,1.20737,1.03684,1.2118
10100,1.40581,1.19731,1.0313,1.20643
10200,1.42153,1.21036,1.03852,1.22392
10300,1.4121,1.2092,1.03244,1.20829
10400,1.41753,1.20949,1.03605,1.21758
10500,1.41667,1.21679,1.03661,1.20778
10600,1.42662,1.22265,1.03926,1.22293
10700,1.4168,1.20966,1.03403,1.21744
10800,1.42206,1.21851,1.03162,1.22291
10900,1.41732,1.21107,1.04303,1.20953
11000,1.4149,1.20904,1.03917,1.20923
11100,1.43205,1.22994,1.04192,1.22604
11200,1.41359,1.20461,1.03109,1.21749
11300,1.41319,1.20518,1.03721,1.21077
11400,1.4136,1.206,1.03609,1.21186
11500,1.42066,1.21401,1.04383,1.21374
11600,1.41289,1.20813,1.03771,1.20668
11700,1.42885,1.23024,1.03755,1.22197
11800,1.41751,1.21609,1.0352,1.21167
11900,1.40458,1.20007,1.02385,1.20717
12000,1.42539,1.222,1.04195,1.21842
12100,1.41174,1.20157,1.03499,1.21286
12200,1.41817,1.21539,1.03421,1.21475
12300,1.42234,1.22253,1.03832,1.21384
12400,1.41085,1.20438,1.03171,1.21082
12500,1.4106,1.20392,1.03167,1.2107
12600,1.40557,1.19767,1.03464,1.20266
12700,1.42004,1.21622,1.03748,1.21551
12800,1.42455,1.21933,1.04128,1.2197
12900,1.42004,1.21739,1.03572,1.21585
13000,1.42758,1.22311,1.03415,1.22902
13100,1.42305,1.22063,1.0349,1.22032
13200,1.41857,1.22019,1.0263,1.21758
13300,1.43828,1.2344,1.04335,1.23489
13400,1.42791,1.22112,1.03631,1.22995
13500,1.43308,1.22448,1.04531,1.23102
13600,1.41824,1.21138,1.03597,1.21744
13700,1.40958,1.19921,1.04017,1.20573
13800,1.40849,1.19421,1.04703,1.20219
13900,1.42231,1.21303,1.04035,1.22155
14000,1.41745,1.20714,1.03654,1.21933
14100,1.41241,1.19713,1.04019,1.21436
14200,1.4067,1.19554,1.03673,1.2056
14300,1.39497,1.18539,1.03184,1.19249
14400,1.40498,1.19161,1.03507,1.20691
14500,1.39416,1.18361,1.02647,1.19699
14600,1.39941,1.18779,1.03676,1.19623
14700,1.40773,1.19907,1.03629,1.20487
14800,1.40858,1.19578,1.05222,1.1963
14900,1.39876,1.19038,1.04223,1.18736
15000,1.41453,1.2012,1.04507,1.2111
15100,1.40964,1.19649,1.04289,1.20621
15200,1.40262,1.18963,1.03598,1.20258
15300,1.39404,1.17995,1.03927,1.18925
15400,1.40856,1.19508,1.03897,1.20848
15500,1.42349,1.21408,1.05063,1.21444
15600,1.40799,1.19344,1.0411,1.20693
15700,1.40849,1.19459,1.05124,1.19815
15800,1.40261,1.18655,1.03861,1.20334
15900,1.40531,1.19119,1.04901,1.19601
16000,1.41089,1.1979,1.04255,1.20803
16100,1.41314,1.20088,1.04767,1.2059
16200,1.42274,1.21197,1.04744,1.21754
16300,1.41706,1.20607,1.04334,1.21366
16400,1.41822,1.20381,1.0455,1.21675
16500,1.40614,1.19316,1.04215,1.20199
16600,1.41472,1.19978,1.04278,1.2149
16700,1.41081,1.19571,1.03824,1.2137
16800,1.41635,1.21019,1.03276,1.21695
16900,1.413,1.21024,1.03168,1.20999
17000,1.40656,1.19941,1.03604,1.20202
17100,1.416,1.20887,1.04238,1.2092
17200,1.41014,1.20163,1.04744,1.19831
17300,1.42463,1.21863,1.04779,1.215
17400,1.40545,1.19169,1.04563,1.1988
17500,1.40816,1.19446,1.04039,1.20695
17600,1.42119,1.21191,1.03608,1.22366
17700,1.41461,1.20516,1.046,1.20652
17800,1.4211,1.21356,1.04125,1.21741
17900,1.40884,1.19653,1.04255,1.2046
18000,1.40533,1.19671,1.0264,1.21008
18100,1.40688,1.19854,1.02717,1.21121
18200,1.40935,1.19869,1.04059,1.20535
18300,1.41452,1.20586,1.03642,1.21387
18400,1.41845,1.20778,1.04555,1.2133
18500,1.42441,1.22044,1.02969,1.22809
18600,1.42668,1.22072,1.04233,1.22238
18700,1.41726,1.20719,1.04367,1.21272
18800,1.41834,1.21043,1.04375,1.21196
18900,1.41335,1.2091,1.03474,1.20934
19000,1.41603,1.20847,1.04216,1.20986
19100,1.42208,1.20996,1.05162,1.21437
19200,1.42207,1.21484,1.0414,1.21829
19300,1.41598,1.20481,1.03518,1.21936
19400,1.41078,1.19661,1.04165,1.20983
19500,1.40219,1.19325,1.02914,1.20386
19600,1.41207,1.20446,1.04286,1.20399
19700,1.4098,1.2013,1.03102,1.21201
19800,1.3895,1.17505,1.03139,1.19035
